date,store_id,product_id,units_sold
2025-01-01,TX01,SKU_1000,6
2025-01-02,TX01,SKU_1000,10
2025-01-03,TX01,SKU_1000,8
2025-01-04,TX01,SKU_1000,10
2025-01-05,TX01,SKU_1000,10
2025-01-06,TX01,SKU_1000,10
2025-01-07,TX01,SKU_1000,14
2025-01-08,TX01,SKU_1000,14
2025-01-09,TX01,SKU_1000,2
2025-01-10,TX01,SKU_1000,11
2025-01-11,TX01,SKU_1000,7
2025-01-12,TX01,SKU_1000,3
2025-01-13,TX01,SKU_1000,10
2025-01-14,TX01,SKU_1000,9
2025-01-15,TX01,SKU_1000,13
2025-01-16,TX01,SKU_1000,9
2025-01-17,TX01,SKU_1000,8
2025-01-18,TX01,SKU_1000,15
2025-01-19,TX01,SKU_1000,3
2025-01-20,TX01,SKU_1000,13
2025-01-21,TX01,SKU_1000,8
2025-01-22,TX01,SKU_1000,12
2025-01-23,TX01,SKU_1000,0
2025-01-24,TX01,SKU_1000,0
2025-01-25,TX01,SKU_1000,0
2025-01-26,TX01,SKU_1000,0
2025-01-27,TX01,SKU_1000,0
2025-01-28,TX01,SKU_1000,4
2025-01-29,TX01,SKU_1000,3
2025-01-30,TX01,SKU_1000,6
2025-01-31,TX01,SKU_1000,10
2025-02-01,TX01,SKU_1000,10
2025-02-02,TX01,SKU_1000,12
2025-02-03,TX01,SKU_1000,4
2025-02-04,TX01,SKU_1000,11
2025-02-05,TX01,SKU_1000,10
2025-02-06,TX01,SKU_1000,11
2025-02-07,TX01,SKU_1000,10
2025-02-08,TX01,SKU_1000,5
2025-02-09,TX01,SKU_1000,12
2025-02-10,TX01,SKU_1000,7
2025-02-11,TX01,SKU_1000,8
2025-02-12,TX01,SKU_1000,9
2025-02-13,TX01,SKU_1000,9
2025-02-14,TX01,SKU_1000,13
2025-02-15,TX01,SKU_1000,12
2025-02-16,TX01,SKU_1000,6
2025-02-17,TX01,SKU_1000,0
2025-02-18,TX01,SKU_1000,0
2025-02-19,TX01,SKU_1000,0
2025-02-20,TX01,SKU_1000,0
2025-02-21,TX01,SKU_1000,9
2025-02-22,TX01,SKU_1000,12
2025-02-23,TX01,SKU_1000,14
2025-02-24,TX01,SKU_1000,9
2025-02-25,TX01,SKU_1000,12
2025-02-26,TX01,SKU_1000,0
2025-02-27,TX01,SKU_1000,0
