scheduled_date,delivery_date,store_id,product_id,quantity,supplier_id,delivery_delay_days
2025-01-01,2025-01-03,TX01,SKU_1000,94,SUP_001,2
2025-01-02,2025-01-02,TX01,SKU_1000,43,SUP_001,0
2025-01-10,2025-01-11,TX01,SKU_1000,79,SUP_001,1
2025-01-11,2025-01-11,TX01,SKU_1000,70,SUP_001,0
2025-01-19,2025-01-19,TX01,SKU_1000,21,SUP_001,0
2025-01-27,2025-01-27,TX01,SKU_1000,73,SUP_001,0
2025-02-04,2025-02-04,TX01,SKU_1000,72,SUP_001,0
2025-02-12,2025-02-12,TX01,SKU_1000,27,SUP_001,0
2025-02-20,2025-02-20,TX01,SKU_1000,56,SUP_001,0
2025-02-28,2025-02-28,TX01,SKU_1000,46,SUP_001,0
2025-03-08,2025-03-08,TX01,SKU_1000,62,SUP_001,0
2025-03-16,2025-03-16,TX01,SKU_1000,81,SUP_001,0
2025-03-24,2025-03-24,TX01,SKU_1000,89,SUP_001,0
2025-04-01,2025-04-01,TX01,SKU_1000,81,SUP_001,0
2025-04-09,2025-04-09,TX01,SKU_1000,20,SUP_001,0
2025-04-17,2025-04-17,TX01,SKU_1000,43,SUP_001,0
2025-04-25,2025-04-25,TX01,SKU_1000,78,SUP_001,0
2025-05-03,2025-05-03,TX01,SKU_1000,69,SUP_001,0
2025-05-11,2025-05-11,TX01,SKU_1000,38,SUP_001,0
2025-05-19,2025-05-19,TX01,SKU_1000,85,SUP_001,0
2025-05-27,2025-05-27,TX01,SKU_1000,36,SUP_001,0
2025-06-04,2025-06-04,TX01,SKU_1000,46,SUP_001,0
2025-06-12,2025-06-12,TX01,SKU_1000,65,SUP_001,0
2025-06-20,2025-06-20,TX01,SKU_1000,44,SUP_001,0
2025-06-28,2025-06-28,TX01,SKU_1000,28,SUP_001,0
2025-07-06,2025-07-06,TX01,SKU_1000,64,SUP_001,0
2025-07-14,2025-07-14,TX01,SKU_1000,61,SUP_001,0
2025-07-22,2025-07-24,TX01,SKU_1000,66,SUP_001,2
2025-07-23,2025-07-23,TX01,SKU_1000,59,SUP_001,0
2025-07-31,2025-07-31,TX01,SKU_1000,77,SUP_001,0
2025-08-08,2025-08-08,TX01,SKU_1000,86,SUP_001,0
2025-08-16,2025-08-16,TX01,SKU_1000,42,SUP_001,0
2025-08-24,2025-08-24,TX01,SKU_1000,31,SUP_001,0
2025-09-01,2025-09-01,TX01,SKU_1000,27,SUP_001,0
2025-09-09,2025-09-11,TX01,SKU_1000,40,SUP_001,2
2025-09-10,2025-09-10,TX01,SKU_1000,43,SUP_001,0
2025-09-18,2025-09-18,TX01,SKU_1000,81,SUP_001,0
2025-09-26,2025-09-26,TX01,SKU_1000,35,SUP_001,0
2025-10-04,2025-10-04,TX01,SKU_1000,24,SUP_001,0
2025-10-12,2025-10-12,TX01,SKU_1000,46,SUP_001,0
2025-10-20,2025-10-20,TX01,SKU_1000,38,SUP_001,0
2025-10-28,2025-10-28,TX01,SKU_1000,82,SUP_001,0
2025-11-05,2025-11-05,TX01,SKU_1000,76,SUP_001,0
2025-11-13,2025-11-13,TX01,SKU_1000,27,SUP_001,0
2025-11-21,2025-11-23,TX01,SKU_1000,92,SUP_001,2
2025-11-22,2025-11-22,TX01,SKU_1000,96,SUP_001,0
2025-11-30,2025-11-30,TX01,SKU_1000,46,SUP_001,0
2025-12-08,2025-12-08,TX01,SKU_1000,36,SUP_001,0
2025-12-16,2025-12-16,TX01,SKU_1000,69,SUP_001,0
2025-12-24,2025-12-24,TX01,SKU_1000,57,SUP_001,0
2025-01-01,2025-01-01,TX01,SKU_1001,70,SUP_010,0
2025-01-08,2025-01-08,TX01,SKU_1001,94,SUP_010,0
2025-01-15,2025-01-15,TX01,SKU_1001,69,SUP_010,0
2025-01-22,2025-01-22,TX01,SKU_1001,65,SUP_010,0
2025-01-29,2025-01-30,TX01,SKU_1001,82,SUP_010,1
2025-01-30,2025-01-30,TX01,SKU_1001,75,SUP_010,0
2025-02-06,2025-02-06,TX01,SKU_1001,37,SUP_010,0
2025-02-13,2025-02-13,TX01,SKU_1001,63,SUP_010,0
2025-02-20,2025-02-20,TX01,SKU_1001,53,SUP_010,0
2025-02-27,2025-02-27,TX01,SKU_1001,89,SUP_010,0
2025-03-06,2025-03-06,TX01,SKU_1001,74,SUP_010,0
2025-03-13,2025-03-13,TX01,SKU_1001,24,SUP_010,0
2025-03-20,2025-03-20,TX01,SKU_1001,83,SUP_010,0
2025-03-27,2025-03-27,TX01,SKU_1001,21,SUP_010,0
2025-04-03,2025-04-03,TX01,SKU_1001,54,SUP_010,0
2025-04-10,2025-04-10,TX01,SKU_1001,33,SUP_010,0
2025-04-17,2025-04-17,TX01,SKU_1001,61,SUP_010,0
2025-04-24,2025-04-24,TX01,SKU_1001,85,SUP_010,0
2025-05-01,2025-05-01,TX01,SKU_1001,83,SUP_010,0
2025-05-08,2025-05-08,TX01,SKU_1001,93,SUP_010,0
2025-05-15,2025-05-15,TX01,SKU_1001,95,SUP_010,0
2025-05-22,2025-05-22,TX01,SKU_1001,32,SUP_010,0
2025-05-29,2025-05-29,TX01,SKU_1001,70,SUP_010,0
2025-06-05,2025-06-05,TX01,SKU_1001,71,SUP_010,0
2025-06-12,2025-06-12,TX01,SKU_1001,62,SUP_010,0
2025-06-19,2025-06-19,TX01,SKU_1001,68,SUP_010,0
2025-06-26,2025-06-26,TX01,SKU_1001,70,SUP_010,0
2025-07-03,2025-07-03,TX01,SKU_1001,66,SUP_010,0
2025-07-10,2025-07-10,TX01,SKU_1001,74,SUP_010,0
2025-07-17,2025-07-17,TX01,SKU_1001,84,SUP_010,0
2025-07-24,2025-07-24,TX01,SKU_1001,70,SUP_010,0
2025-07-31,2025-07-31,TX01,SKU_1001,33,SUP_010,0
2025-08-07,2025-08-07,TX01,SKU_1001,39,SUP_010,0
2025-08-14,2025-08-14,TX01,SKU_1001,43,SUP_010,0
2025-08-21,2025-08-21,TX01,SKU_1001,28,SUP_010,0
2025-08-28,2025-08-28,TX01,SKU_1001,44,SUP_010,0
2025-09-04,2025-09-04,TX01,SKU_1001,72,SUP_010,0
2025-09-11,2025-09-11,TX01,SKU_1001,40,SUP_010,0
2025-09-18,2025-09-18,TX01,SKU_1001,43,SUP_010,0
2025-09-25,2025-09-25,TX01,SKU_1001,92,SUP_010,0
2025-10-02,2025-10-02,TX01,SKU_1001,63,SUP_010,0
2025-10-09,2025-10-09,TX01,SKU_1001,99,SUP_010,0
2025-10-16,2025-10-16,TX01,SKU_1001,26,SUP_010,0
2025-10-23,2025-10-23,TX01,SKU_1001,22,SUP_010,0
2025-10-30,2025-10-30,TX01,SKU_1001,44,SUP_010,0
2025-11-06,2025-11-06,TX01,SKU_1001,58,SUP_010,0
2025-11-13,2025-11-13,TX01,SKU_1001,84,SUP_010,0
2025-11-20,2025-11-20,TX01,SKU_1001,87,SUP_010,0
2025-11-27,2025-11-27,TX01,SKU_1001,78,SUP_010,0
2025-12-04,2025-12-04,TX01,SKU_1001,28,SUP_010,0
2025-12-11,2025-12-11,TX01,SKU_1001,92,SUP_010,0
2025-12-18,2025-12-18,TX01,SKU_1001,98,SUP_010,0
2025-12-25,2025-12-25,TX01,SKU_1001,96,SUP_010,0
2025-01-01,2025-01-01,TX01,SKU_1002,26,SUP_001,0
2025-01-08,2025-01-10,TX01,SKU_1002,32,SUP_001,2
2025-01-09,2025-01-09,TX01,SKU_1002,79,SUP_001,0
2025-01-16,2025-01-16,TX01,SKU_1002,56,SUP_001,0
2025-01-23,2025-01-25,TX01,SKU_1002,69,SUP_001,2
2025-01-24,2025-01-24,TX01,SKU_1002,66,SUP_001,0
2025-01-31,2025-01-31,TX01,SKU_1002,32,SUP_001,0
2025-02-07,2025-02-07,TX01,SKU_1002,94,SUP_001,0
2025-02-14,2025-02-14,TX01,SKU_1002,80,SUP_001,0
2025-02-21,2025-02-23,TX01,SKU_1002,36,SUP_001,2
2025-02-22,2025-02-24,TX01,SKU_1002,83,SUP_001,2
2025-02-23,2025-02-23,TX01,SKU_1002,43,SUP_001,0
2025-03-02,2025-03-04,TX01,SKU_1002,21,SUP_001,2
2025-03-03,2025-03-03,TX01,SKU_1002,30,SUP_001,0
2025-03-10,2025-03-10,TX01,SKU_1002,60,SUP_001,0
2025-03-17,2025-03-17,TX01,SKU_1002,21,SUP_001,0
