date,store_id,product_id,stock_level,supplier_id
2025-01-01,TX01,SKU_1000,65,SUP_001
2025-01-02,TX01,SKU_1000,55,SUP_001
2025-01-03,TX01,SKU_1000,90,SUP_001
2025-01-04,TX01,SKU_1000,80,SUP_001
2025-01-05,TX01,SKU_1000,70,SUP_001
2025-01-06,TX01,SKU_1000,60,SUP_001
2025-01-07,TX01,SKU_1000,46,SUP_001
2025-01-08,TX01,SKU_1000,32,SUP_001
2025-01-09,TX01,SKU_1000,30,SUP_001
2025-01-10,TX01,SKU_1000,19,SUP_001
2025-01-11,TX01,SKU_1000,12,SUP_001
2025-01-12,TX01,SKU_1000,79,SUP_001
2025-01-13,TX01,SKU_1000,69,SUP_001
2025-01-14,TX01,SKU_1000,60,SUP_001
2025-01-15,TX01,SKU_1000,47,SUP_001
2025-01-16,TX01,SKU_1000,38,SUP_001
2025-01-17,TX01,SKU_1000,30,SUP_001
2025-01-18,TX01,SKU_1000,15,SUP_001
2025-01-19,TX01,SKU_1000,12,SUP_001
2025-01-20,TX01,SKU_1000,20,SUP_001
2025-01-21,TX01,SKU_1000,12,SUP_001
2025-01-22,TX01,SKU_1000,0,SUP_001
2025-01-23,TX01,SKU_1000,0,SUP_001
2025-01-24,TX01,SKU_1000,0,SUP_001
2025-01-25,TX01,SKU_1000,0,SUP_001
2025-01-26,TX01,SKU_1000,0,SUP_001
2025-01-27,TX01,SKU_1000,0,SUP_001
2025-01-28,TX01,SKU_1000,69,SUP_001
2025-01-29,TX01,SKU_1000,66,SUP_001
2025-01-30,TX01,SKU_1000,60,SUP_001
2025-01-31,TX01,SKU_1000,50,SUP_001
2025-02-01,TX01,SKU_1000,40,SUP_001
2025-02-02,TX01,SKU_1000,28,SUP_001
2025-02-03,TX01,SKU_1000,24,SUP_001
2025-02-04,TX01,SKU_1000,13,SUP_001
2025-02-05,TX01,SKU_1000,75,SUP_001
2025-02-06,TX01,SKU_1000,64,SUP_001
2025-02-07,TX01,SKU_1000,54,SUP_001
2025-02-08,TX01,SKU_1000,49,SUP_001
2025-02-09,TX01,SKU_1000,37,SUP_001
2025-02-10,TX01,SKU_1000,30,SUP_001
2025-02-11,TX01,SKU_1000,22,SUP_001
2025-02-12,TX01,SKU_1000,13,SUP_001
2025-02-13,TX01,SKU_1000,31,SUP_001
2025-02-14,TX01,SKU_1000,18,SUP_001
2025-02-15,TX01,SKU_1000,6,SUP_001
2025-02-16,TX01,SKU_1000,0,SUP_001
2025-02-17,TX01,SKU_1000,0,SUP_001
2025-02-18,TX01,SKU_1000,0,SUP_001
2025-02-19,TX01,SKU_1000,0,SUP_001
2025-02-20,TX01,SKU_1000,0,SUP_001
2025-02-21,TX01,SKU_1000,47,SUP_001
2025-02-22,TX01,SKU_1000,35,SUP_001
2025-02-23,TX01,SKU_1000,21,SUP_001
2025-02-24,TX01,SKU_1000,12,SUP_001
