date,store_id,product_id,stock_level,daily_sales,sales_velocity,delivery_delay,supplier_reliability,shortage_event
2025-01-01,TX01,SKU_1000,65,6,6.0,0.0,0.75,0
2025-01-02,TX01,SKU_1000,55,10,8.0,0.0,0.75,0
2025-01-03,TX01,SKU_1000,90,8,8.0,2.0,0.75,0
2025-01-04,TX01,SKU_1000,80,10,8.5,0.0,0.75,0
2025-01-05,TX01,SKU_1000,70,10,8.8,0.0,0.75,0
2025-01-06,TX01,SKU_1000,60,10,9.0,0.0,0.75,0
2025-01-07,TX01,SKU_1000,46,14,9.714285714285714,0.0,0.75,0
2025-01-08,TX01,SKU_1000,32,14,10.857142857142858,0.0,0.75,0
2025-01-09,TX01,SKU_1000,30,2,9.714285714285714,0.0,0.75,0
2025-01-10,TX01,SKU_1000,19,11,10.142857142857142,0.0,0.75,0
2025-01-11,TX01,SKU_1000,12,7,9.714285714285714,1.0,0.75,0
2025-01-11,TX01,SKU_1000,12,7,9.714285714285714,0.0,0.75,0
2025-01-12,TX01,SKU_1000,79,3,8.714285714285714,0.0,0.75,0
2025-01-13,TX01,SKU_1000,69,10,8.714285714285714,0.0,0.75,0
2025-01-14,TX01,SKU_1000,60,9,8.0,0.0,0.75,0
2025-01-15,TX01,SKU_1000,47,13,7.857142857142857,0.0,0.75,0
2025-01-16,TX01,SKU_1000,38,9,8.857142857142858,0.0,0.75,0
2025-01-17,TX01,SKU_1000,30,8,8.428571428571429,0.0,0.75,0
2025-01-18,TX01,SKU_1000,15,15,9.571428571428571,0.0,0.75,0
2025-01-19,TX01,SKU_1000,12,3,9.571428571428571,0.0,0.75,0
2025-01-20,TX01,SKU_1000,20,13,10.0,0.0,0.75,0
2025-01-21,TX01,SKU_1000,12,8,9.857142857142858,0.0,0.75,0
2025-01-22,TX01,SKU_1000,0,12,9.714285714285714,0.0,0.75,1
2025-01-23,TX01,SKU_1000,0,0,8.428571428571429,0.0,0.75,0
2025-01-24,TX01,SKU_1000,0,0,7.285714285714286,0.0,0.75,0
2025-01-25,TX01,SKU_1000,0,0,5.142857142857143,0.0,0.75,0
2025-01-26,TX01,SKU_1000,0,0,4.714285714285714,0.0,0.75,0
2025-01-27,TX01,SKU_1000,0,0,2.857142857142857,0.0,0.75,0
2025-01-28,TX01,SKU_1000,69,4,2.2857142857142856,0.0,0.75,0
2025-01-29,TX01,SKU_1000,66,3,1.0,0.0,0.75,0
2025-01-30,TX01,SKU_1000,60,6,1.8571428571428572,0.0,0.75,0
2025-01-31,TX01,SKU_1000,50,10,3.2857142857142856,0.0,0.75,0
2025-02-01,TX01,SKU_1000,40,10,4.714285714285714,0.0,0.75,0
2025-02-02,TX01,SKU_1000,28,12,6.428571428571429,0.0,0.75,0
2025-02-03,TX01,SKU_1000,24,4,7.0,0.0,0.75,0
2025-02-04,TX01,SKU_1000,13,11,8.0,0.0,0.75,0
2025-02-05,TX01,SKU_1000,75,10,9.0,0.0,0.75,0
2025-02-06,TX01,SKU_1000,64,11,9.714285714285714,0.0,0.75,0
2025-02-07,TX01,SKU_1000,54,10,9.714285714285714,0.0,0.75,0
2025-02-08,TX01,SKU_1000,49,5,9.0,0.0,0.75,0
2025-02-09,TX01,SKU_1000,37,12,9.0,0.0,0.75,0
2025-02-10,TX01,SKU_1000,30,7,9.428571428571429,0.0,0.75,0
2025-02-11,TX01,SKU_1000,22,8,9.0,0.0,0.75,0
2025-02-12,TX01,SKU_1000,13,9,8.857142857142858,0.0,0.75,0
2025-02-13,TX01,SKU_1000,31,9,8.571428571428571,0.0,0.75,0
2025-02-14,TX01,SKU_1000,18,13,9.0,0.0,0.75,0
2025-02-15,TX01,SKU_1000,6,12,10.0,0.0,0.75,1
2025-02-16,TX01,SKU_1000,0,6,9.142857142857142,0.0,0.75,1
2025-02-17,TX01,SKU_1000,0,0,8.142857142857142,0.0,0.75,0
2025-02-18,TX01,SKU_1000,0,0,7.0,0.0,0.75,0
2025-02-19,TX01,SKU_1000,0,0,5.714285714285714,0.0,0.75,0
2025-02-20,TX01,SKU_1000,0,0,4.428571428571429,0.0,0.75,0
2025-02-21,TX01,SKU_1000,47,9,3.857142857142857,0.0,0.75,0
2025-02-22,TX01,SKU_1000,35,12,3.857142857142857,0.0,0.75,0
2025-02-23,TX01,SKU_1000,21,14,5.0,0.0,0.75,0
2025-02-24,TX01,SKU_1000,12,9,6.285714285714286,0.0,0.75,0
2025-02-25,TX01,SKU_1000,0,12,8.0,0.0,0.75,1
2025-02-26,TX01,SKU_1000,0,0,8.0,0.0,0.75,0
2025-02-27,TX01,SKU_1000,0,0,8.0,0.0,0.75,0
2025-02-28,TX01,SKU_1000,0,0,6.714285714285714,0.0,0.75,0
2025-03-01,TX01,SKU_1000,32,14,7.0,0.0,0.75,0
2025-03-02,TX01,SKU_1000,30,2,5.285714285714286,0.0,0.75,0
2025-03-03,TX01,SKU_1000,18,12,5.714285714285714,0.0,0.75,0
2025-03-04,TX01,SKU_1000,8,10,5.428571428571429,0.0,0.75,1
2025-03-05,TX01,SKU_1000,0,8,6.571428571428571,0.0,0.75,1
2025-03-06,TX01,SKU_1000,0,0,6.571428571428571,0.0,0.75,0
2025-03-07,TX01,SKU_1000,0,0,6.571428571428571,0.0,0.75,0
2025-03-08,TX01,SKU_1000,0,0,4.571428571428571,0.0,0.75,0
2025-03-09,TX01,SKU_1000,51,11,5.857142857142857,0.0,0.75,0
2025-03-10,TX01,SKU_1000,37,14,6.142857142857143,0.0,0.75,0
2025-03-11,TX01,SKU_1000,25,12,6.428571428571429,0.0,0.75,0
2025-03-12,TX01,SKU_1000,15,10,6.714285714285714,0.0,0.75,0
2025-03-13,TX01,SKU_1000,3,12,8.428571428571429,0.0,0.75,1
2025-03-14,TX01,SKU_1000,0,3,8.857142857142858,0.0,0.75,1
2025-03-15,TX01,SKU_1000,0,0,8.857142857142858,0.0,0.75,0
2025-03-16,TX01,SKU_1000,0,0,7.285714285714286,0.0,0.75,0
2025-03-17,TX01,SKU_1000,72,9,6.571428571428571,0.0,0.75,0
2025-03-18,TX01,SKU_1000,58,14,6.857142857142857,0.0,0.75,0
2025-03-19,TX01,SKU_1000,48,10,6.857142857142857,0.0,0.75,0
2025-03-20,TX01,SKU_1000,39,9,6.428571428571429,0.0,0.75,0
2025-03-21,TX01,SKU_1000,27,12,7.714285714285714,0.0,0.75,0
2025-03-22,TX01,SKU_1000,18,9,9.0,0.0,0.75,0
2025-03-23,TX01,SKU_1000,10,8,10.142857142857142,0.0,0.75,0
2025-03-24,TX01,SKU_1000,0,10,10.285714285714286,0.0,0.75,1
2025-03-25,TX01,SKU_1000,80,9,9.571428571428571,0.0,0.75,0
2025-03-26,TX01,SKU_1000,78,2,8.428571428571429,0.0,0.75,0
2025-03-27,TX01,SKU_1000,67,11,8.714285714285714,0.0,0.75,0
2025-03-28,TX01,SKU_1000,59,8,8.142857142857142,0.0,0.75,0
2025-03-29,TX01,SKU_1000,50,9,8.142857142857142,0.0,0.75,0
2025-03-30,TX01,SKU_1000,39,11,8.571428571428571,0.0,0.75,0
2025-03-31,TX01,SKU_1000,30,9,8.428571428571429,0.0,0.75,0
2025-04-01,TX01,SKU_1000,20,10,8.571428571428571,0.0,0.75,0
2025-04-02,TX01,SKU_1000,98,3,8.714285714285714,0.0,0.75,0
2025-04-03,TX01,SKU_1000,89,9,8.428571428571429,0.0,0.75,0
2025-04-04,TX01,SKU_1000,85,4,7.857142857142857,0.0,0.75,0
2025-04-05,TX01,SKU_1000,79,6,7.428571428571429,0.0,0.75,0
2025-04-06,TX01,SKU_1000,72,7,6.857142857142857,0.0,0.75,0
2025-04-07,TX01,SKU_1000,62,10,7.0,0.0,0.75,0
2025-04-08,TX01,SKU_1000,54,8,6.714285714285714,0.0,0.75,0
2025-04-09,TX01,SKU_1000,46,8,7.428571428571429,0.0,0.75,0
2025-04-10,TX01,SKU_1000,56,10,7.571428571428571,0.0,0.75,0
